nombre_libro,genero,editorial,año,isbn,idioma,numero_paginas,average_rating
EL LABERINTO DE LAS ACEITUNAS,"Novela negra, intriga, terror",SEIX BARRAL,2005,9788432217029,Español,NULL,NULL
,,,,,,,
RETRATO EN SEPIA,Ficción literaria,DEBOLSILLO,2009,9788497592505,Español,NULL,NULL
,,,,,,,
NADA,Literatura contemporánea,DESTINO,2009,9788423341191,Español,303,NULL
,,,,,,,
LA FAMILIA DE PASCUAL DUARTE,Literatura contemporánea,DESTINO,2003,9788423334797,Español,260,5
,,,,,,,
RELATO DE UN NÁUFRAGO,Narrativa,TUSQUETS,1989,9788472230088,Español,176,5
,,,,,,,
COPLAS A LA MUERTE DE SU PADRE,"Poesía, teatro",EDAF,2003,9788441413078,Español,NULL,NULL
,,,,,,,
LOS GIRASOLES CIEGOS,Narrativa,ANAGRAMA,2006,9788433968555,Español,109,4
,,,,,,,
COMO AGUA PARA CHOCOLATE,"Romántica, erótica",DEBOLSILLO,2016,9788466329088,Español,209,3.5
,,,,,,,
EL PRINCIPE DESTRONADO,Literatura contemporánea,ESPASA,2007,9788467024753,Español,NULL,NULL
,,,,,,,
INÉS DEL ALMA MÍA,Narrativa,DEBOLSILLO,2011,9788401341885,Español,NULL,NULL
,,,,,,,
PAULA,"Biografías, Memorias",DEBOLSILLO,2009,9788497593885,Español,45,3.5
,,,,,,,
LA VIDA DEL BUSCÓN,Clásicos de la literatura,CRÍTICA,1993,9788474236163,Español,441,NULL
,,,,,,,
"SAN MANUEL BUENO, MÁRTIR",Clásicos de la literatura,ESPASA,2007,9788467021677,Español,175,4
,,,,,,,
LA SOMBRA DEL ÁGUILA,Histórica y aventuras,ALFAGUARA,2017,9788420474694,Español,154,NULL
,,,,,,,
NOVELAS EJEMPLARES,Clásicos de la literatura,CRÍTICA,2001,9788484322009,Español,NULL,NULL
,,,,,,,
HISTORIA DE UNA ESCALERA,"Poesía, teatro",ESPASA,2010,9788467021455,Español,187,NULL
,,,,,,,
LUCES DE BOHEMIA,"Poesía, teatro",AUSTRAL,2010,9788467033274,Español,127,NULL
,,,,,,,
LA SOMBRA DEL CIPRÉS ES ALARGADA,Literatura contemporánea,DESTINO,2007,9788423339143,Español,NULL,NULL
,,,,,,,
LA CIUDAD DE LOS PRODIGIOS,Literatura contemporánea,SEIX BARRAL,2005,9788432216855,Español,NULL,NULL
,,,,,,,
RÉQUIEM POR UN CAMPESINO ESPAÑOL,Literatura contemporánea,DESTINO,2002,9788423308606,Español,272,NULL
,,,,,,,
EL HEREJE,Literatura contemporánea,DESTINO,2008,9788423339570,Español,497,NULL
,,,,,,,
EL TIEMPO ENTRE COSTURAS,Narrativa,TEMAS DE HOY,2009,9788408222262,Español,614,NULL
,,,,,,,
CRÓNICA DE UNA MUERTE ANUNCIADA,Literatura contemporánea,DEBOLSILLO,2003,9788497592437,Español,54,NULL
,,,,,,,
CINCO HORAS CON MARIO,Literatura contemporánea,DESTINO,2007,9788423342563,Español,296,NULL
,,,,,,,
